batting_team,bowling_team,city,runs_left,balls_left,wickets_left,target_score,striker_rating,bowler_rating,result
Rising Pune Supergiants,Mumbai Indians,Mumbai,53,66,10,122,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Chennai Super Kings,Abu Dhabi,84,74,7,126,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Delhi Daredevils,Delhi,52,31,9,153,15.236554524980507,1.4496487206164133,0
Pune Warriors,Chennai Super Kings,Pune,45,3,2,165,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Gujarat Titans,Ahmedabad,76,38,7,205,15.236554524980507,1.4496487206164133,0
Gujarat Titans,Lucknow Super Giants,Ahmedabad,105,56,7,203,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Gujarat Titans,Kolkata,126,56,8,199,15.236554524980507,1.1398176291793314,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,124,104,9,139,15.236554524980507,1.4496487206164133,0
Gujarat Titans,Punjab Kings,Chandigarh,98,83,9,155,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,50,46,4,114,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Rajasthan Royals,Jaipur,111,86,9,161,15.236554524980507,1.4496487206164133,1
Kings XI Punjab,Chennai Super Kings,Chandigarh,180,113,10,189,15.236554524980507,1.4496487206164133,1
Gujarat Titans,Rajasthan Royals,Jaipur,51,65,10,120,15.236554524980507,1.4496487206164133,0
Kolkata Knight Riders,Deccan Chargers,Cuttack,63,58,8,127,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Rajasthan Royals,Chennai,29,24,6,146,15.236554524980507,1.0880077369439072,0
Delhi Capitals,Royal Challengers Bangalore,Delhi,91,67,9,188,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Sunrisers Hyderabad,Delhi,41,21,6,190,15.236554524980507,1.1362201742204265,1
Royal Challengers Bangalore,Gujarat Titans,Mumbai,133,95,10,169,15.236554524980507,1.4496487206164133,0
Deccan Chargers,Kolkata Knight Riders,Hyderabad,14,3,3,182,15.236554524980507,1.4496487206164133,0
Delhi Capitals,Lucknow Super Giants,Lucknow,26,26,7,171,15.236554524980507,1.2121212121212122,0
Rajasthan Royals,Kings XI Punjab,Chandigarh,180,115,10,183,15.236554524980507,1.0894941634241244,1
Punjab Kings,Mumbai Indians,Ahmedabad,60,33,7,204,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Kings XI Punjab,Cuttack,69,28,6,188,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Sunrisers Hyderabad,Delhi,39,38,9,174,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Mumbai Indians,Jaipur,110,70,8,168,15.236554524980507,1.4496487206164133,0
Mumbai Indians,Kings XI Punjab,Chandigarh,89,75,10,157,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Punjab Kings,Pune,156,96,9,187,15.236554524980507,1.4496487206164133,1
Deccan Chargers,Kolkata Knight Riders,Mumbai,148,116,10,151,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Royal Challengers Bangalore,Pune,87,83,9,129,15.236554524980507,1.1362201742204265,1
Delhi Daredevils,Mumbai Indians,Mumbai,41,64,8,94,15.236554524980507,1.4496487206164133,1
Delhi Daredevils,Kolkata Knight Riders,Delhi,57,37,6,132,15.236554524980507,1.4496487206164133,1
Kolkata Knight Riders,Mumbai Indians,Kolkata,133,90,8,156,15.236554524980507,1.4496487206164133,0
Rajasthan Royals,Kings XI Punjab,Abu Dhabi,66,46,8,186,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Kolkata Knight Riders,Abu Dhabi,48,31,7,173,15.236554524980507,1.4496487206164133,0
Delhi Daredevils,Pune Warriors,Mumbai,126,85,10,191,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,-11,44,5,90,15.236554524980507,1.4496487206164133,1
Royal Challengers Bangalore,Deccan Chargers,Hyderabad,136,69,6,176,15.236554524980507,1.4496487206164133,1
Chennai Super Kings,Mumbai Indians,Mumbai,148,108,9,163,15.236554524980507,1.4496487206164133,0
Lucknow Super Giants,Chennai Super Kings,Chennai,127,58,8,211,15.236554524980507,1.4496487206164133,1
Mumbai Indians,Delhi Capitals,Abu Dhabi,86,61,9,163,15.236554524980507,1.4496487206164133,0
