,id,city,gender,pom,toss_decision,winner,team_type,won_by
0,0,Hyderabad,male,Yuvraj Singh,field,Royal Challengers Bangalore,club,{'runs': 35}
1,1,Pune,male,SPD Smith,field,Rising Pune Supergiant,club,{'wickets': 7}
2,2,Rajkot,male,CA Lynn,field,Kolkata Knight Riders,club,{'wickets': 10}
3,3,Indore,male,GJ Maxwell,field,Kings XI Punjab,club,{'wickets': 6}
4,4,Bengaluru,male,KM Jadhav,bat,Royal Challengers Bangalore,club,{'runs': 15}
5,5,Hyderabad,male,Rashid Khan,field,Sunrisers Hyderabad,club,{'wickets': 9}
6,6,Mumbai,male,N Rana,field,Mumbai Indians,club,{'wickets': 4}
7,7,Indore,male,AR Patel,bat,Royal Challengers Bangalore,club,{'wickets': 8}
8,8,Pune,male,SV Samson,field,Rising Pune Supergiant,club,{'runs': 97}
9,9,Mumbai,male,JJ Bumrah,field,Mumbai Indians,club,{'wickets': 4}
10,10,Kolkata,male,SP Narine,field,Kolkata Knight Riders,club,{'wickets': 8}
11,11,Bangalore,male,KA Pollard,field,Mumbai Indians,club,{'wickets': 4}
12,12,Rajkot,male,AJ Tye,field,Gujarat Lions,club,{'wickets': 7}
13,13,Kolkata,male,RV Uthappa,field,Sunrisers Hyderabad,club,{'runs': 17}
14,14,Delhi,male,CJ Anderson,bat,Delhi Daredevils,club,{'runs': 51}
15,15,Mumbai,male,N Rana,field,Mumbai Indians,club,{'wickets': 6}
16,16,Bangalore,male,BA Stokes,field,Royal Challengers Bangalore,club,{'runs': 27}
17,17,Delhi,male,NM Coulter-Nile,bat,Delhi Daredevils,club,{'wickets': 4}
18,18,Hyderabad,male,B Kumar,field,Kings XI Punjab,club,{'runs': 5}
19,19,Rajkot,male,CH Gayle,field,Gujarat Lions,club,{'runs': 21}
20,20,Hyderabad,male,KS Williamson,bat,Sunrisers Hyderabad,club,{'runs': 15}
21,21,Indore,male,JC Buttler,field,Mumbai Indians,club,{'wickets': 8}
22,22,Kolkata,male,SK Raina,field,Gujarat Lions,club,{'wickets': 4}
23,23,Mumbai,male,MJ McClenaghan,field,Delhi Daredevils,club,{'runs': 14}
24,24,Pune,male,MS Dhoni,field,Rising Pune Supergiant,club,{'wickets': 6}
25,25,Rajkot,male,HM Amla,field,Gujarat Lions,club,{'runs': 26}
26,26,Kolkata,male,NM Coulter-Nile,field,Royal Challengers Bangalore,club,{'runs': 82}
27,27,Mumbai,male,BA Stokes,field,Mumbai Indians,club,{'runs': 3}
28,28,Pune,male,RV Uthappa,field,Kolkata Knight Riders,club,{'wickets': 7}
29,29,Bangalore,male,AJ Tye,field,Gujarat Lions,club,{'wickets': 7}
30,30,Kolkata,male,G Gambhir,field,Kolkata Knight Riders,club,{'wickets': 7}
31,31,Chandigarh,male,Rashid Khan,field,Kings XI Punjab,club,{'runs': 26}
32,32,Pune,male,LH Ferguson,field,Royal Challengers Bangalore,club,{'runs': 61}
33,33,Rajkot,male,KH Pandya,bat,Gujarat Lions,club,
34,34,Chandigarh,male,Sandeep Sharma,field,Kings XI Punjab,club,{'wickets': 10}
35,35,Hyderabad,male,DA Warner,field,Kolkata Knight Riders,club,{'runs': 48}
36,36,Mumbai,male,RG Sharma,bat,Royal Challengers Bangalore,club,{'wickets': 5}
37,37,Pune,male,BA Stokes,field,Rising Pune Supergiant,club,{'wickets': 5}
38,38,Delhi,male,Mohammed Shami,field,Delhi Daredevils,club,{'wickets': 6}
39,39,Kolkata,male,RA Tripathi,field,Rising Pune Supergiant,club,{'wickets': 4}
40,40,Delhi,male,RR Pant,field,Delhi Daredevils,club,{'wickets': 7}
41,41,Bangalore,male,Sandeep Sharma,field,Royal Challengers Bangalore,club,{'runs': 19}
42,42,Hyderabad,male,JD Unadkat,field,Sunrisers Hyderabad,club,{'runs': 12}
43,43,Delhi,male,LMP Simmons,field,Delhi Daredevils,club,{'runs': 146}
44,44,Bangalore,male,SP Narine,field,Kolkata Knight Riders,club,{'wickets': 6}
45,45,Chandigarh,male,DR Smith,field,Gujarat Lions,club,{'wickets': 6}
46,46,Hyderabad,male,S Dhawan,bat,Mumbai Indians,club,{'wickets': 7}
47,47,Chandigarh,male,MM Sharma,field,Kolkata Knight Riders,club,{'runs': 14}
48,48,Kanpur,male,SS Iyer,field,Delhi Daredevils,club,{'wickets': 2}
49,49,Mumbai,male,WP Saha,field,Mumbai Indians,club,{'runs': 7}
50,50,Delhi,male,KK Nair,bat,Delhi Daredevils,club,{'runs': 7}
51,51,Kanpur,male,Mohammed Siraj,field,Sunrisers Hyderabad,club,{'wickets': 8}
52,52,Kolkata,male,AT Rayudu,field,Kolkata Knight Riders,club,{'runs': 9}
53,53,Pune,male,JD Unadkat,field,Rising Pune Supergiant,club,{'wickets': 9}
54,54,Delhi,male,HV Patel,bat,Royal Challengers Bangalore,club,{'runs': 10}
55,55,Mumbai,male,Washington Sundar,field,Mumbai Indians,club,{'runs': 20}
56,56,Bangalore,male,NM Coulter-Nile,field,Kolkata Knight Riders,club,{'wickets': 7}
57,57,Bangalore,male,KV Sharma,field,Mumbai Indians,club,{'wickets': 6}
58,58,Hyderabad,male,KH Pandya,bat,Mumbai Indians,club,{'runs': 1}
59,59,Mumbai,male,DJ Bravo,field,Chennai Super Kings,club,{'wickets': 1}
60,60,Chandigarh,male,KL Rahul,field,Kings XI Punjab,club,{'wickets': 6}
61,61,Kolkata,male,SP Narine,field,Kolkata Knight Riders,club,{'wickets': 4}
62,62,Hyderabad,male,S Dhawan,field,Sunrisers Hyderabad,club,{'wickets': 9}
63,63,Chennai,male,SW Billings,field,Chennai Super Kings,club,{'wickets': 5}
64,64,Jaipur,male,SV Samson,field,Delhi Daredevils,club,{'runs': 10}
65,65,Hyderabad,male,Rashid Khan,field,Sunrisers Hyderabad,club,{'wickets': 1}
66,66,Bengaluru,male,UT Yadav,field,Royal Challengers Bangalore,club,{'wickets': 4}
67,67,Mumbai,male,JJ Roy,field,Delhi Daredevils,club,{'wickets': 7}
68,68,Kolkata,male,B Stanlake,field,Sunrisers Hyderabad,club,{'wickets': 5}
69,69,Bengaluru,male,SV Samson,field,Royal Challengers Bangalore,club,{'runs': 19}
70,70,Chandigarh,male,CH Gayle,field,Chennai Super Kings,club,{'runs': 4}
71,71,Kolkata,male,N Rana,field,Delhi Daredevils,club,{'runs': 71}
72,72,Mumbai,male,RG Sharma,field,Royal Challengers Bangalore,club,{'runs': 46}
73,73,Jaipur,male,N Rana,field,Kolkata Knight Riders,club,{'wickets': 7}
74,74,Chandigarh,male,CH Gayle,bat,Kings XI Punjab,club,{'runs': 15}
75,75,Pune,male,SR Watson,field,Rajasthan Royals,club,{'runs': 64}
76,76,Kolkata,male,KL Rahul,field,Kings XI Punjab,club,{'wickets': 9}
77,77,Bengaluru,male,AB de Villiers,field,Royal Challengers Bangalore,club,{'wickets': 6}
78,78,Hyderabad,male,AT Rayudu,field,Sunrisers Hyderabad,club,{'runs': 4}
79,79,Jaipur,male,JC Archer,bat,Mumbai Indians,club,{'wickets': 3}
80,80,Delhi,male,AS Rajpoot,field,Delhi Daredevils,club,{'runs': 4}
81,81,Mumbai,male,Rashid Khan,field,Mumbai Indians,club,{'runs': 31}
82,82,Bengaluru,male,MS Dhoni,field,Chennai Super Kings,club,{'wickets': 5}
83,83,Hyderabad,male,AS Rajpoot,field,Kings XI Punjab,club,{'runs': 13}
84,84,Delhi,male,SS Iyer,field,Kolkata Knight Riders,club,{'runs': 55}
85,85,Pune,male,RG Sharma,field,Mumbai Indians,club,{'wickets': 8}
86,86,Jaipur,male,KS Williamson,bat,Sunrisers Hyderabad,club,{'runs': 11}
87,87,Bengaluru,male,CA Lynn,field,Kolkata Knight Riders,club,{'wickets': 6}
88,88,Pune,male,SR Watson,field,Delhi Daredevils,club,{'runs': 13}
89,89,Bengaluru,male,TG Southee,field,Mumbai Indians,club,{'runs': 14}
90,90,Delhi,male,RR Pant,field,Rajasthan Royals,club,{'runs': 4}
91,91,Kolkata,male,SP Narine,field,Kolkata Knight Riders,club,{'wickets': 6}
92,92,Indore,male,SA Yadav,field,Mumbai Indians,club,{'wickets': 6}
93,93,Pune,male,RA Jadeja,field,Chennai Super Kings,club,{'wickets': 6}
94,94,Hyderabad,male,Rashid Khan,bat,Delhi Daredevils,club,{'wickets': 7}
95,95,Mumbai,male,HH Pandya,field,Kolkata Knight Riders,club,{'runs': 13}
96,96,Indore,male,Mujeeb Ur Rahman,field,Kings XI Punjab,club,{'wickets': 6}
97,97,Hyderabad,male,KS Williamson,field,Royal Challengers Bangalore,club,{'runs': 5}
98,98,Jaipur,male,JC Buttler,bat,Rajasthan Royals,club,{'runs': 15}
99,99,Kolkata,male,Ishan Kishan,field,Kolkata Knight Riders,club,{'runs': 102}
100,100,Delhi,male,S Dhawan,bat,Delhi Daredevils,club,{'wickets': 9}
101,101,Jaipur,male,JC Buttler,bat,Chennai Super Kings,club,{'wickets': 4}
102,102,Indore,male,SP Narine,field,Kings XI Punjab,club,{'runs': 31}
103,103,Delhi,male,AB de Villiers,field,Royal Challengers Bangalore,club,{'wickets': 5}
104,104,Pune,male,AT Rayudu,field,Chennai Super Kings,club,{'wickets': 8}
105,105,Mumbai,male,JC Buttler,field,Rajasthan Royals,club,{'wickets': 7}
106,106,Indore,male,UT Yadav,field,Royal Challengers Bangalore,club,{'wickets': 10}
107,107,Kolkata,male,Kuldeep Yadav,field,Kolkata Knight Riders,club,{'wickets': 6}
108,108,Mumbai,male,JJ Bumrah,field,Kings XI Punjab,club,{'runs': 3}
109,109,Bengaluru,male,AB de Villiers,field,Sunrisers Hyderabad,club,{'runs': 14}
110,110,Delhi,male,HV Patel,field,Chennai Super Kings,club,{'runs': 34}
111,111,Jaipur,male,S Gopal,bat,Rajasthan Royals,club,{'runs': 30}
112,112,Hyderabad,male,CA Lynn,bat,Sunrisers Hyderabad,club,{'wickets': 5}
113,113,Delhi,male,A Mishra,bat,Delhi Daredevils,club,{'runs': 11}
114,114,Pune,male,L Ngidi,field,Chennai Super Kings,club,{'wickets': 5}
115,115,Mumbai,male,F du Plessis,field,Chennai Super Kings,club,{'wickets': 2}
116,116,Kolkata,male,AD Russell,field,Rajasthan Royals,club,{'runs': 25}
117,117,Kolkata,male,Rashid Khan,field,Kolkata Knight Riders,club,{'runs': 14}
118,118,Mumbai,male,SR Watson,field,Chennai Super Kings,club,{'wickets': 8}
119,119,Chennai,male,Harbhajan Singh,field,Chennai Super Kings,club,{'wickets': 7}
120,120,Kolkata,male,AD Russell,field,Kolkata Knight Riders,club,{'wickets': 6}
121,121,Mumbai,male,RR Pant,field,Mumbai Indians,club,{'runs': 37}
122,122,Jaipur,male,CH Gayle,field,Rajasthan Royals,club,{'runs': 14}
123,123,Delhi,male,SR Watson,bat,Delhi Capitals,club,{'wickets': 6}
124,124,Kolkata,male,AD Russell,field,Kings XI Punjab,club,{'runs': 28}
125,125,Bengaluru,male,JJ Bumrah,field,Royal Challengers Bangalore,club,{'runs': 6}
126,126,Hyderabad,male,Rashid Khan,bat,Rajasthan Royals,club,{'wickets': 5}
127,127,Chandigarh,male,MA Agarwal,field,Kings XI Punjab,club,{'wickets': 8}
128,128,Delhi,male,PP Shaw,field,Delhi Capitals,club,
129,129,Hyderabad,male,JM Bairstow,field,Royal Challengers Bangalore,club,{'runs': 118}
130,130,Chennai,male,MS Dhoni,field,Rajasthan Royals,club,{'runs': 8}
131,131,Chandigarh,male,SM Curran,field,Delhi Capitals,club,{'runs': 14}
132,132,Jaipur,male,S Gopal,field,Rajasthan Royals,club,{'wickets': 7}
133,133,Mumbai,male,HH Pandya,field,Chennai Super Kings,club,{'runs': 37}
134,134,Delhi,male,JM Bairstow,field,Sunrisers Hyderabad,club,{'wickets': 5}
135,135,Bengaluru,male,AD Russell,field,Kolkata Knight Riders,club,{'wickets': 5}
136,136,Chennai,male,Harbhajan Singh,bat,Chennai Super Kings,club,{'runs': 22}
137,137,Hyderabad,male,AS Joseph,field,Sunrisers Hyderabad,club,{'runs': 40}
138,138,Bengaluru,male,K Rabada,field,Delhi Capitals,club,{'wickets': 4}
139,139,Jaipur,male,HF Gurney,field,Kolkata Knight Riders,club,{'wickets': 8}
140,140,Chandigarh,male,KL Rahul,field,Kings XI Punjab,club,{'wickets': 6}
141,141,Chennai,male,DL Chahar,field,Chennai Super Kings,club,{'wickets': 7}
142,142,Mumbai,male,KA Pollard,field,Mumbai Indians,club,{'wickets': 3}
143,143,Jaipur,male,MS Dhoni,field,Chennai Super Kings,club,{'wickets': 4}
144,144,Kolkata,male,S Dhawan,field,Delhi Capitals,club,{'wickets': 7}
145,145,Mumbai,male,JC Buttler,field,Rajasthan Royals,club,{'wickets': 4}
146,146,Chandigarh,male,AB de Villiers,field,Royal Challengers Bangalore,club,{'wickets': 8}
147,147,Kolkata,male,Imran Tahir,field,Chennai Super Kings,club,{'wickets': 5}
148,148,Hyderabad,male,KMA Paul,field,Sunrisers Hyderabad,club,{'runs': 39}
149,149,Mumbai,male,SL Malinga,field,Mumbai Indians,club,{'wickets': 5}
150,150,Chandigarh,male,R Ashwin,field,Rajasthan Royals,club,{'runs': 12}
151,151,Hyderabad,male,DA Warner,bat,Chennai Super Kings,club,{'wickets': 6}
152,152,Delhi,male,HH Pandya,bat,Mumbai Indians,club,{'runs': 40}
153,153,Kolkata,male,V Kohli,field,Kolkata Knight Riders,club,{'runs': 10}
154,154,Jaipur,male,SPD Smith,field,Rajasthan Royals,club,{'wickets': 5}
155,155,Delhi,male,SS Iyer,field,Delhi Capitals,club,{'wickets': 5}
156,156,Hyderabad,male,KK Ahmed,field,Sunrisers Hyderabad,club,{'wickets': 9}
157,157,Bengaluru,male,PA Patel,field,Chennai Super Kings,club,{'runs': 1}
158,158,Jaipur,male,RR Pant,field,Delhi Capitals,club,{'wickets': 6}
159,159,Chennai,male,SR Watson,field,Chennai Super Kings,club,{'wickets': 6}
160,160,Bengaluru,male,AB de Villiers,field,Kings XI Punjab,club,{'runs': 17}
161,161,Kolkata,male,VR Aaron,field,Rajasthan Royals,club,{'wickets': 3}
162,162,Chennai,male,RG Sharma,field,Chennai Super Kings,club,{'runs': 46}
163,163,Jaipur,male,JD Unadkat,field,Rajasthan Royals,club,{'wickets': 7}
164,164,Delhi,male,S Dhawan,bat,Delhi Capitals,club,{'runs': 16}
165,165,Kolkata,male,AD Russell,field,Mumbai Indians,club,{'runs': 34}
166,166,Hyderabad,male,DA Warner,field,Kings XI Punjab,club,{'runs': 45}
167,167,Bengaluru,male,,field,Rajasthan Royals,club,
168,168,Chennai,male,MS Dhoni,field,Delhi Capitals,club,{'runs': 80}
169,169,Mumbai,male,JJ Bumrah,bat,Mumbai Indians,club,
170,170,Chandigarh,male,Shubman Gill,field,Kolkata Knight Riders,club,{'wickets': 7}
171,171,Delhi,male,A Mishra,bat,Rajasthan Royals,club,{'wickets': 5}
172,172,Bengaluru,male,SO Hetmyer,field,Royal Challengers Bangalore,club,{'wickets': 4}
173,173,Chandigarh,male,KL Rahul,field,Kings XI Punjab,club,{'wickets': 6}
174,174,Mumbai,male,HH Pandya,field,Mumbai Indians,club,{'wickets': 9}
175,175,Chennai,male,SA Yadav,bat,Chennai Super Kings,club,{'wickets': 6}
176,176,Visakhapatnam,male,RR Pant,field,Delhi Capitals,club,{'wickets': 2}
177,177,Visakhapatnam,male,F du Plessis,field,Chennai Super Kings,club,{'wickets': 6}
178,178,Hyderabad,male,JJ Bumrah,bat,Mumbai Indians,club,{'runs': 1}
179,179,Abu Dhabi,male,AT Rayudu,field,Chennai Super Kings,club,{'wickets': 5}
180,180,,male,MP Stoinis,field,Kings XI Punjab,club,
181,181,Abu Dhabi,male,Mohammed Siraj,bat,Kolkata Knight Riders,club,{'wickets': 8}
182,182,,male,S Nadeem,field,Sunrisers Hyderabad,club,{'wickets': 10}
183,183,,male,SV Samson,field,Chennai Super Kings,club,{'runs': 16}
184,184,Abu Dhabi,male,CV Varun,field,Delhi Capitals,club,{'runs': 59}
185,185,,male,CJ Jordan,field,Sunrisers Hyderabad,club,{'runs': 12}
186,186,Abu Dhabi,male,SA Yadav,field,Mumbai Indians,club,{'wickets': 5}
187,187,,male,R Ashwin,field,Rajasthan Royals,club,{'runs': 46}
188,188,Abu Dhabi,male,RA Tripathi,bat,Kolkata Knight Riders,club,{'runs': 10}
189,189,,male,Sandeep Sharma,field,Sunrisers Hyderabad,club,{'wickets': 5}
190,190,Abu Dhabi,male,KA Pollard,field,Kings XI Punjab,club,{'runs': 48}
191,191,,male,Shivam Mavi,field,Rajasthan Royals,club,{'runs': 37}
192,192,Abu Dhabi,male,A Nortje,field,Delhi Capitals,club,{'wickets': 6}
193,193,Abu Dhabi,male,RD Gaikwad,field,Chennai Super Kings,club,{'wickets': 9}
194,194,,male,R Tewatia,bat,Sunrisers Hyderabad,club,{'wickets': 5}
195,195,Abu Dhabi,male,RG Sharma,field,Kolkata Knight Riders,club,{'runs': 49}
196,196,,male,S Dhawan,bat,Chennai Super Kings,club,{'wickets': 5}
